nameRec,UnifiedPlusInd
Elymus caninus,Elymus caninus
Elytrigia,Elytrigia
Elytrigia atherica,Elytrigia atherica
Elytrigia campestris subsp. maritima,Elytrigia campestris subsp. maritima
Elytrigia juncea,Elytrigia juncea
Elytrigia juncea subsp. boreoatlantica,Elytrigia juncea
Elytrigia repens,Elytrigia repens
Elytrigia repens subsp. repens,Elytrigia repens
Elytrigia repens x atherica = E. x drucei,Elytrigia atherica
Empetrum nigrum,Empetrum nigrum
Empetrum nigrum subsp. nigrum,Empetrum nigrum
Epilobium,Epilobium
Epilobium anagallidifolium,Epilobium anagallidifolium
Epilobium brunnescens,Epilobium brunnescens
Epilobium ciliatum,Epilobium ciliatum
Epilobium hirsutum,Epilobium hirsutum
Epilobium hirsutum x obscurum,Epilobium hirsutum
Epilobium lanceolatum,Epilobium lanceolatum
Epilobium montanum,Epilobium montanum
Epilobium montanum x obscurum = E. x aggregatum,Epilobium montanum
Epilobium obscurum,Epilobium obscurum
Epilobium palustre,Epilobium palustre
Epilobium parviflorum,Epilobium parviflorum
Epilobium tetragonum,Epilobium tetragonum
Epipactis helleborine,Epipactis helleborine
Epipactis palustris,Epipactis palustris
Equisetaceae,Equisetaceae
Equisetum,Equisetum arvense
Equisetum arvense,Equisetum arvense
Equisetum fluviatile,Equisetum fluviatile
Equisetum hyemale x variegatum = E. x trachyodon,Equisetum hyemale x variegatum = E. x trachyodon
Equisetum palustre,Equisetum palustre
Equisetum pratense,Equisetum arvense
Equisetum sylvaticum,Equisetum sylvaticum
Equisetum telmateia,Equisetum telmateia
Equisetum variegatum,Equisetum variegatum
Erica carnea,Erica carnea
Erica ciliaris,Erica ciliaris
Erica ciliaris x tetralix = E. x watsonii,Erica ciliaris x tetralix = E. x watsonii
Erica cinerea,Erica cinerea
Erica tetralix,Erica tetralix
Erigeron acris,Erigeron acris
Erinus alpinus,Erinus alpinus
Eriophorum,Eriophorum
Eriophorum angustifolium,Eriophorum angustifolium
Eriophorum vaginatum,Eriophorum vaginatum
Erodium,Erodium cicutarium agg.
Erodium cicutarium,Erodium cicutarium agg.
Erodium cicutarium agg.,Erodium cicutarium agg.
Erodium cicutarium x lebelii = E. x anaristatum,Erodium cicutarium agg.
Erodium maritimum,Erodium maritimum
Erodium moschatum,Erodium maritimum
Erophila glabrescens,Eriophila verna agg.
Erophila verna,Eriophila verna agg.
Eryngium maritimum,Eryngium maritimum
Erysimum cheiranthoides,Erysimum cheiranthoides
Erythronium dens-canis,Viola riviniana
Eschscholzia californica,Eschscholzia californica
Euonymus europaeus,Euonymus europaeus
Eupatorium cannabinum,Eupatorium cannabinum
Euphorbia,Euphorbia
Euphorbia amygdaloides,Euphorbia amygdaloides
Euphorbia amygdaloides subsp. amygdaloides,Euphorbia amygdaloides
Euphorbia exigua,Euphorbia exigua
Euphorbia helioscopia,Euphorbia helioscopia
Euphorbia lathyris,Euphorbia lathyris
Euphorbia paralias,Euphorbia paralias
Euphorbia peplus,Euphorbia peplus
Euphorbia platyphyllos,Euphorbia platyphyllos
Euphorbia portlandica,Euphorbia portlandica
Euphrasia,Euphrasia officinalis agg.
Euphrasia arctica,Euphrasia officinalis agg.
Euphrasia micrantha,Euphrasia officinalis agg.
Euphrasia nemorosa,Euphrasia officinalis agg.
Euphrasia officinalis,Euphrasia officinalis agg.
Euphrasia officinalis agg.,Euphrasia officinalis agg.
Fagopyrum esculentum,Fagopyrum esculentum
Fagus,Fagus sylvatica
Fagus sylvatica,Fagus sylvatica
Fagus sylvatica 'Pendula',Fagus sylvatica
Fallopia convolvulus,Fallopia convolvulus
Fallopia japonica,Fallopia japonica
Festuca,Festuca
Festuca arenaria,Festuca arenaria
Festuca arenaria subsp. arenaria,Festuca arenaria
Festuca arundinacea,Festuca arundinacea
Festuca filiformis,Festuca filiformis
Festuca gigantea,Festuca gigantea
Festuca ovina,Festuca ovina agg.
Festuca ovina agg.,Festuca ovina agg.
Festuca pratensis,Festuca pratensis
Festuca pratensis x Lolium perenne = X Festulolium loliaceum,Festuca pratensis x Lolium perenne = X Festulolium loliaceum
Festuca rubra,Festuca rubra agg.
Festuca rubra agg.,Festuca rubra agg.
Festuca rubra subsp. commutata,Festuca rubra agg.
Festuca rubra subsp. juncea,Festuca rubra agg.
Festuca rubra subsp. rubra,Festuca rubra agg.
Festuca vivipara,Festuca vivipara
Filago arvensis,Filago vulgaris
Filago minima,Filago minima
Filago vulgaris,Filago vulgaris
Filipendula,Filipendula ulmaria
Filipendula ulmaria,Filipendula ulmaria
Filipendula vulgaris,Filipendula vulgaris
Filipendula x purpurea,Filipendula ulmaria
Foeniculum vulgare,Foeniculum vulgare
Fragaria,Fragaria vesca
Fragaria ananassa,Fragaria ananassa
Fragaria vesca,Fragaria vesca
Frangula alnus,Frangula alnus
Fraxinus excelsior,Fraxinus excelsior
Fraxinus excelsior 'Diversifolia',Fraxinus excelsior
Fritillaria meleagris,Fritillaria meleagris
Fumaria,Fumaria officinalis
Fumaria muralis,Fumaria muralis
Fumaria officinalis,Fumaria officinalis
Galanthus nivalis,Galanthus nivalis
Galega officinalis,Galega officinalis
Galeopsis bifida,Galeopsis tetrahit agg. sensu lato
Galeopsis tetrahit,Galeopsis tetrahit agg. sensu lato
Galeopsis tetrahit agg. sensu lato,Galeopsis tetrahit agg. sensu lato
Galeopsis tetrahit x bifida = G. x ludwigii,Galeopsis tetrahit agg. sensu lato
Galinsoga parviflora,Galinsoga parviflora
Galinsoga quadriradiata,Galinsoga quadriradiata
Galium,Galium
Galium aparine,Galium aparine
Galium boreale,Galium boreale
Galium constrictum,Galium constrictum
Galium mollugo,Galium mollugo
Galium mollugo subsp. erectum,Galium mollugo
Galium odoratum,Galium odoratum
Galium palustre,Galium palustre
Galium palustre subsp. elongatum,Galium palustre
Galium palustre subsp. palustre,Galium palustre
Galium pumilum,Galium pumilum
Galium saxatile,Galium saxatile
Galium sterneri,Galium sterneri
Galium sterneri x saxatile,Galium sterneri
Galium uliginosum,Galium uliginosum
Galium verum,Galium verum
Galium verum var. maritimum,Galium verum
Galium verum var. verum,Galium verum
Gaudinia fragilis,Gaudinia fragilis
Genista anglica,Genista anglica
Gentianella amarella,Gentianella amarella
Gentianella campestris,Gentianella campestris
Geraniaceae,Geraniaceae
Geranium,Geranium
Geranium columbinum,Geranium columbinum
Geranium dissectum,Geranium dissectum
Geranium lucidum,Geranium lucidum
Geranium molle,Geranium molle
Geranium pratense,Geranium pratense
Geranium pusillum,Geranium pusillum
Geranium pyrenaicum,Geranium pyrenaicum
Geranium robertianum,Geranium robertianum
Geranium robertianum x purpureum,Geranium robertianum
